Date,ADA-Close,BNB-Close,BTC-Close,DOGE-Close,ETH-Close,EOS-Close,LTC-Close,MATIC-Close,USDC-Close,USDT-Close,XRP-Close
1/8/2019,0.058872,28.773273,10399.66895,0.002957,217.808441,4.328653,99.179726,0.010698,1.002258,1.006068,0.317906
2/8/2019,0.057412,28.038483,10518.17481,0.002909,217.871567,4.188134,94.941292,0.011059,0.99978,1.001748,0.312394
3/8/2019,0.057763,27.88986,10821.72656,0.002912,222.490341,4.300152,94.580879,0.010687,1.001781,1.004277,0.316757
4/8/2019,0.056271,27.556162,10970.18457,0.002938,222.669724,4.242296,93.203781,0.01027,0.99809,1.005068,0.319842
5/8/2019,0.05668,28.011879,11805.65332,0.003087,234.215027,4.48661,96.834648,0.011793,1.002105,1.009972,0.323564
6/8/2019,0.053369,27.638088,11478.16895,0.00295,226.020645,4.191586,93.069717,0.015359,0.999602,0.998211,0.311326
7/8/2019,0.051906,29.354368,11941.96875,0.003006,226.391006,4.229099,90.912598,0.016646,1.001156,1.001961,0.311969
8/8/2019,0.05197,30.832846,11966.40723,0.002928,220.941864,4.156637,90.031609,0.014384,0.996485,0.997454,0.307661
9/8/2019,0.047641,29.961473,11862.93652,0.002904,210.488907,3.907381,84.439377,0.012197,0.999862,0.998742,0.297343
10/8/2019,0.051981,29.681858,11354.02441,0.002842,206.733536,4.067848,85.419479,0.014935,1.003114,0.999664,0.298721
11/8/2019,0.054981,30.057255,11523.5791,0.002898,216.092865,4.191365,89.75267,0.016393,0.997543,0.99765,0.301915
12/8/2019,0.052938,30.166882,11382.61621,0.00288,211.288071,4.129393,85.749229,0.016918,1.002359,0.998427,0.300322
13/8/2019,0.052561,29.466278,10895.83008,0.002825,208.709045,4.065266,84.406143,0.016506,1.00063,0.996607,0.296639
14/8/2019,0.047,27.105581,10051.7041,0.002722,186.607742,3.665906,76.064987,0.014685,1.001968,0.993267,0.263343
15/8/2019,0.047519,28.043447,10311.5459,0.00264,188.50206,3.632992,76.388977,0.014612,1.000914,1.002768,0.264882
16/8/2019,0.046841,27.644571,10374.33887,0.002681,185.440079,3.591413,74.920151,0.013379,1.000861,1.002429,0.261971
17/8/2019,0.047393,27.480522,10231.74414,0.002646,185.687683,3.561599,72.797722,0.014149,1.000853,1.000918,0.265721
18/8/2019,0.050731,27.932446,10345.81055,0.002723,194.49353,3.703268,76.269951,0.01392,1.001784,1.003422,0.282646
19/8/2019,0.050298,28.809004,10916.05371,0.002797,203.091934,3.73488,77.263191,0.015466,1.001148,1.004276,0.283328
20/8/2019,0.049195,28.16749,10763.23242,0.002763,196.565414,3.680356,75.196564,0.015729,1.001564,1.000555,0.275806
21/8/2019,0.047113,26.993715,10138.04981,0.002675,186.891632,3.498746,72.964951,0.015378,0.999723,0.994472,0.266261
22/8/2019,0.04941,27.089191,10131.05566,0.0027,191.332916,3.638698,73.598595,0.016794,1.000238,1.00298,0.270944
23/8/2019,0.04979,27.17053,10407.96484,0.002713,194.706207,3.682329,75.402817,0.015466,1.001519,1.003907,0.276545
24/8/2019,0.050177,26.495663,10159.96094,0.002661,191.289566,3.666339,73.463615,0.014857,1.002682,1.002637,0.272553
25/8/2019,0.049439,26.131847,10138.51758,0.002662,186.842392,3.557762,72.308144,0.013753,0.999175,0.999559,0.270088
26/8/2019,0.049697,26.10833,10370.82031,0.002679,188.929382,3.583229,73.857178,0.013932,1.002137,1.001347,0.270788
27/8/2019,0.049839,25.688978,10185.5,0.00262,187.516663,3.551602,72.836227,0.014233,1.001307,0.999137,0.269618
28/8/2019,0.045825,23.702868,9754.422852,0.002524,173.889969,3.289692,67.425545,0.012946,0.999821,0.996918,0.25745
29/8/2019,0.044697,21.889606,9510.200195,0.00245,169.516739,3.215464,64.098053,0.011709,1.003471,1.002594,0.257045
30/8/2019,0.044825,22.218857,9598.173828,0.002482,168.834869,3.216813,64.332977,0.012297,1.000485,1.00209,0.256218
31/8/2019,0.04499,21.265915,9630.664063,0.002511,172.469788,3.328035,64.57605,0.011846,1.003442,1.003744,0.259204
1/9/2019,0.044543,21.56867,9757.970703,0.002492,171.629425,3.277485,66.144722,0.01223,1.00121,1.004573,0.258054
2/9/2019,0.045362,22.767134,10346.76074,0.002596,178.347351,3.322542,66.944954,0.013715,0.99799,1.003085,0.26082
3/9/2019,0.046771,22.51454,10623.54004,0.002595,179.499329,3.356452,69.129257,0.014363,1.000587,1.002552,0.263139
4/9/2019,0.045517,21.796309,10594.49316,0.00269,175.992889,3.314291,67.285629,0.014151,1.001098,1.002481,0.259905
5/9/2019,0.044437,22.761099,10575.5332,0.002531,174.217133,3.280053,65.395569,0.014845,0.999252,1.001045,0.256346
6/9/2019,0.044415,22.153149,10353.30273,0.002509,169.956177,3.227546,65.228203,0.013653,1.002477,1.0034,0.25234
7/9/2019,0.046198,22.548977,10517.25488,0.002515,178.262619,3.572309,69.038712,0.013903,1.002406,1.005914,0.260687
8/9/2019,0.046719,22.561689,10441.27637,0.002501,181.35553,3.775113,70.54937,0.013927,1.003195,1.005253,0.263084
9/9/2019,0.046931,22.28739,10334.97461,0.002461,181.14946,3.87899,70.192238,0.014159,1.001375,1.002489,0.259562
10/9/2019,0.04651,21.911144,10115.97559,0.002437,179.78717,3.77882,70.823395,0.013537,1.001311,0.999806,0.258671
11/9/2019,0.04499,20.899321,10178.37207,0.002399,178.725494,3.760161,69.922142,0.013115,1.002054,1.002407,0.255956
12/9/2019,0.045452,20.922277,10410.12695,0.002425,181.016098,3.71941,69.225075,0.012978,0.999025,1.002317,0.254811
13/9/2019,0.045753,20.887466,10360.54688,0.002426,181.109726,3.724065,68.988617,0.012964,0.998835,1.001374,0.255551
14/9/2019,0.046524,21.071585,10358.04883,0.002441,188.105515,4.009221,70.562302,0.013105,0.999346,1.002235,0.261167
15/9/2019,0.046799,20.59894,10347.71289,0.00246,189.789124,4.067291,70.315178,0.012913,1.003387,1.003904,0.261628
16/9/2019,0.047071,20.398512,10276.79395,0.002455,197.113174,4.08199,72.573112,0.012904,0.999926,1.001626,0.260952
17/9/2019,0.049008,21.005367,10241.27246,0.002608,208.608749,4.082611,74.22123,0.013507,1.003121,1.004886,0.285013
